Country,Parameter link,Dystopia (2.43) + residual,Explained by: Freedom to make life choices,Explained by: Economy,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Perceptions of corruption,Explained by: Social support,Happiness score,Interval,Range,Range,Rank,Whisker-high,Whisker-low
71.  Paraguay (5.653)*,TRUE,2.305724621,0.601954639,0.982720017,0.206312463,0.548704743,0.036773287,0.970435798,5.652599812,5.832155228,0.359110832,0.359110832,71,5.832155228,5.473044395
72.  Montenegro (5.581),TRUE,2.254203081,0.396871805,1.154551744,0.165653348,0.636866629,0.081027135,0.891328692,5.580500126,5.68584013,0.210680008,0.210680008,72,5.68584013,5.475160122
73.  Dominican Republic (5.545),TRUE,2.178196907,0.581409156,1.106473923,0.101025693,0.55506587,0.143597543,0.879291534,5.545100212,5.684885979,0.279571533,0.279571533,73,5.684885979,5.405314445
74.  North Cyprus (5.536)*,TRUE,1.653332472,0.503215492,1.376773596,0.195888668,0.800586581,0.199752942,0.805999875,5.53550005,5.635532856,0.200065613,0.200065613,74,5.635532856,5.435467243
75.  Belarus (5.534)*,TRUE,2.246565819,0.325983673,1.124244332,0.070340864,0.559822619,0.199388072,1.007151365,5.533500195,5.624687672,0.182374954,0.182374954,75,5.624687672,5.442312717
76.  Russia (5.477),TRUE,2.147895575,0.409223914,1.24146378,0.115271725,0.511002481,0.060407799,0.991885662,5.477200031,5.541293621,0.12818718,0.12818718,76,5.541293621,5.413106441
77.  Hong Kong S.A.R. of China (5.477),TRUE,1.236393452,0.407711625,1.525003672,0.231904671,0.892632246,0.342262208,0.840749681,5.476699829,5.572969437,0.192539215,0.192539215,77,5.572969437,5.380430222
78.  Tajikistan (5.466),TRUE,2.619285822,0.547884166,0.508492708,0.15159145,0.497699946,0.246605918,0.89465934,5.466199875,5.532459736,0.132519722,0.132519722,78,5.532459736,5.399940014
79.  Vietnam (5.411)*,TRUE,2.211146116,0.678803861,0.816773057,0.124295659,0.615919113,0.091144882,0.872754514,5.41079998,5.487817764,0.154035568,0.154035568,79,5.487817764,5.333782196
80.  Libya (5.410)*,TRUE,2.331344843,0.473741472,1.043562889,0.131455988,0.435322911,0.173930615,0.820904911,5.410299778,5.558324814,0.296050072,0.296050072,80,5.558324814,5.262274742
81.  Malaysia (5.384)*,TRUE,1.784125328,0.624087632,1.258728147,0.269708782,0.586566567,0.063798562,0.797332525,5.384300232,5.479953289,0.191306114,0.191306114,81,5.479953289,5.288647175
82.  Indonesia (5.345)*,TRUE,1.986965179,0.597622216,0.953598797,0.541249812,0.433318675,0.04593486,0.785845399,5.344500065,5.453901291,0.218802452,0.218802452,82,5.453901291,5.235098839
83.  Congo (Brazzaville) (5.342)*,TRUE,3.476486683,0.380850881,0.517731965,0.143914595,0.306853443,0.124146186,0.391742975,5.341700077,5.532706261,0.382012367,0.382012367,83,5.532706261,5.150693893
84.  China (5.339),TRUE,1.982221365,0.635849357,1.061338425,0.092791989,0.665028274,0.117312394,0.78453517,5.339099884,5.396831989,0.115464211,0.115464211,84,5.396831989,5.281367779
85.  Ivory Coast (5.306),TRUE,3.468930244,0.437712342,0.669315934,0.177214921,0.051513024,0.092390589,0.408906549,5.306000233,5.459510326,0.307020187,0.307020187,85,5.459510326,5.152490139
86.  Armenia (5.283)*,TRUE,2.127059698,0.539768517,0.996425986,0.078610964,0.585085928,0.197644144,0.757972777,5.282599926,5.39718914,0.229178429,0.229178429,86,5.39718914,5.168010712
87.  Nepal (5.269)*,TRUE,2.641723871,0.487617105,0.518715203,0.2871373,0.496195972,0.135099769,0.702422142,5.268899918,5.405832291,0.273864746,0.273864746,87,5.405832291,5.131967545
88.  Bulgaria (5.266),TRUE,1.82262516,0.494172513,1.180966735,0.125027359,0.583357036,0.004608572,1.054756522,5.265500069,5.370755672,0.210511208,0.210511208,88,5.370755672,5.160244465
89.  Maldives (5.198)*,TRUE,1.51966095,0.57460624,1.114727259,0.203628093,0.696730852,0.073142476,1.015078664,5.197599888,5.338691235,0.282182693,0.282182693,89,5.338691235,5.056508541
90.  Azerbaijan (5.171)*,TRUE,1.918843746,0.526176393,1.024848819,0.04279637,0.541015089,0.276053131,0.841063917,5.170800209,5.250159264,0.158718109,0.158718109,90,5.250159264,5.091441154
91.  Cameroon (5.142),TRUE,3.195382118,0.425233155,0.542844951,0.204702213,0.158649787,0.058489706,0.556493402,5.141799927,5.287572861,0.291545868,0.291545868,91,5.287572861,4.996026993
