,,,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017
Region ,Sub-region,Country,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Americas,Central America,Guatemala,,,"6,443",50.35,"6,095",46.54,"6,055",45.2,"6,238",45.53,"6,960",49.69,"7,603",53.11,"7,452",50.94,"6,237",41.72,"6,086",39.85,"2,786",17.86,"2,417",15.18,"2,364",14.55,"1,849",11.15,,
Americas,Central America,Honduras,,,,,,,,,,,,,,,,,"3,645",42.98,"2,027",23.46,"1,734",19.71,"1,497",16.72,"1,328",14.57,"1,347",14.53,"2,053",21.77
Americas,Central America,Mexico,,,"246,338",235.7,"239,166",225.62,"245,507",228.25,"261,295",239.34,"250,932",226.44,"244,623",217.51,"230,687",202.19,"212,141",183.36,"211,921",180.71,"32,202",27.1,"39,937",33.18,"46,211",37.92,"63,654",51.61,"54,866",43.97
Americas,Central America,Nicaragua,,,,,"19,335",355.49,"18,391",333.53,,,,,,,"18,345",314.99,,,,,,,,,,,,,,
Americas,Central America,Panama,,,,,,,"6,055",178.51,"6,450",186.74,"6,739",191.67,"6,572",183.63,"6,060",166.35,"5,784",156.07,"5,461",144.82,"4,236",110.46,"4,063",104.15,"2,843",71.65,"2,511",62.2,"3,343",81.4
Americas,Northern America,Bermuda,522,790.91,435,659.09,,,,,,,,,702,"1,063.64",617,949.23,559,860,552,849.23,56,87.5,61,95.31,58,90.63,46,73.02,37,58.73
Americas,Northern America,Canada,"48,135",152.87,"49,376",155.2,"53,451",166.18,"56,709",174.29,"58,269",176.94,"58,419",175.23,"57,002",168.91,"55,436",162.34,"53,957",156.22,"53,339",152.74,"49,260",139.56,"48,369",135.62,"50,708",140.75,"53,411",146.8,"55,394",150.81
Americas,Northern America,United States of America,"859,030",296.41,"847,381",289.85,"862,220",292.28,"874,096",293.56,"866,358",288.2,"843,683",278,"812,514",265.26,"781,844",253.01,"752,423",241.48,"762,009",242.64,"726,800",229.71,"731,100",229.42,"764,100",238.13,"803,000",248.59,"810,800",249.41
Americas,South America,Argentina,,,,,"142,099",365.36,"134,291",341.79,"137,181",345.68,"145,240",362.38,,,,,,,,,,,"178,611",418.9,"181,321",420.94,"142,986",328.64,"142,120",323.46
Americas,South America,Bolivia (Plurinational State of),,,,,"6,026",65.27,"5,405",57.53,"6,441",67.39,"6,987",71.88,"7,229",73.13,"8,451",84.1,"6,692",65.52,"7,426",71.56,"12,625",119.76,"9,513",88.85,"8,647",79.55,"8,108",73.5,,
Americas,South America,Brazil,,,,,,,"652,778",346.91,"649,027",341.36,"649,996",338.49,"651,879",336.22,"715,702",365.69,"717,185",363.1,"732,913",367.77,"661,494",329.04,"606,252",298.99,"621,009",303.71,"600,920",291.48,"591,881",284.79
Americas,South America,Chile,,,,,,,"20,992",128.35,"21,727",131.44,"23,275",139.3,"23,816",141.04,"22,259",130.45,"22,963",133.24,"19,813",113.87,"14,313",81.45,"13,359",75.22,"12,304",68.47,"12,007",65.94,"10,969",59.39
Americas,South America,Colombia,,,"32,534",77.32,"30,415",71.32,"46,529",107.7,"47,957",109.65,"36,043",81.44,"55,124",123.18,"53,140",117.51,"62,185",136.18,"82,181",178.36,"167,111",359.42,"167,645",356.93,"175,106",368.48,"179,607",372.82,"122,545",250.55
Americas,South America,Ecuador,"7,084",52.98,"7,967",58.6,"7,756",56.1,"6,575",46.77,,,,,"4,078",27.6,"4,505",30.01,"6,309",41.39,"8,242",53.26,"8,560",54.5,"7,430",46.58,"8,016",49.44,"7,312",44.34,"6,522",38.86
Americas,South America,Guyana,,,,,,,,,,,,,,,"11,182","1,492.92",,,"9,867","1,306.89","6,501",856.52,,,"9,269","1,208.47","1,154",149.68,"2,102",271.23
Americas,South America,Paraguay,,,,,"2,235",38.38,995,16.83,"1,048",17.47,"2,115",34.78,"2,071",33.6,"1,947",31.16,"2,012",31.77,"2,024",31.52,837,12.86,779,11.8,685,10.24,664,9.8,214,3.12
Americas,South America,Peru,,,"15,020",54.37,"14,699",52.75,"15,827",56.32,"54,265",191.53,"54,356",190.31,"55,291",192.03,"19,053",65.64,"20,717",70.79,"25,022",84.8,"26,163",87.87,"24,806",82.44,"24,778",81.32,"22,720",73.47,"26,028",82.78
Americas,South America,Suriname,,,,,,,,,,,,,,,,,,,,,,,433,78.3,310,55.46,396,70.09,360,63.16
Americas,South America,Uruguay,,,,,,,615,18.5,656,19.69,768,22.99,849,25.34,519,15.45,514,15.26,469,13.88,426,12.57,470,13.82,466,13.66,569,16.62,429,12.48
Asia,Central Asia,Kazakhstan,,,,,,,"2,474",15.91,"1,988",12.66,"1,945",12.26,"1,621",10.1,"1,591",9.79,"1,962",11.9,"1,666",9.95,"1,361",7.99,957,5.53,900,5.12,,,"2,050",11.34
Asia,Central Asia,Kyrgyzstan,225,4.49,213,4.23,264,5.2,206,4.02,343,6.62,349,6.64,359,6.73,536,9.89,482,8.74,414,7.36,306,5.34,380,6.5,359,6.02,283,4.66,,
Asia,Central Asia,Tajikistan,,,,,,,"5,762",83.23,"5,730",81.13,"7,396",102.58,"9,489",128.84,"5,490",72.94,"3,735",48.52,,,,,,,,,,,,
Asia,Central Asia,Turkmenistan,,,,,90,1.89,83,1.73,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,"1,451",4.77,"1,478",4.78,"1,505",4.79,"1,397",4.37
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,"7,754",115.3,"7,811",115.8,"8,091",119.51,"8,690",127.76,"8,660",126.61,"8,410",122.2,"8,136",117.49,"7,602",109.13,"7,362",105.07,"7,332",104.04,"6,623",93.43,,,,,,,,
Asia,Eastern Asia,Japan,"58,505",45.69,"59,628",46.51,"60,299",46.99,"64,989",50.61,"62,952",48.99,"60,126",46.78,"26,574",20.67,"26,647",20.73,"25,928",20.18,"28,058",21.85,"27,864",21.72,"26,653",20.8,"25,183",19.68,"24,365",19.07,,
Asia,Eastern Asia,Macao Special Administrative Region of China,,,,,,,,,,,"1,998",387.96,"1,879",357.22,"1,836",341.26,"1,728",313.61,"1,754",310.99,"1,700",294.63,"1,783",302.2,"1,620",269.1,"1,713",279.45,"1,743",279.78
Asia,Eastern Asia,Mongolia,"2,440",98.83,"2,846",114.02,"2,991",118.41,"3,584",140.05,"4,614",177.87,"5,319",202.09,"5,770",215.78,"5,821",214.01,"5,838",210.76,"6,546",231.72,"7,564",262.46,"8,132",276.6,"8,064",268.98,"1,892",61.91,398,12.78
