,,,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017
Region,Sub-region,Country,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Asia,Western Asia,Azerbaijan,294,3.255,306,3.346,252,2.72,227,2.419,241,2.535,,,490,5.033,397,4.033
Asia,Western Asia,Cyprus,156,14.016,137,12.178,173,15.242,149,13.024,104,9.028,93,8.01,105,8.974,117,9.915
Asia,Western Asia,Georgia,638,15.565,,,,,,,471,11.673,,,,,,
Asia,Western Asia,Israel,"2,906",39.559,"2,746",36.677,,,,,,,,,,,,
Asia,Western Asia,Jordan,,,,,,,,,,,,,,,593,6.06
Asia,Western Asia,Lebanon,,,,,,,,,,,"2,789",42.691,,,,
Asia,Western Asia,Oman,,,,,,,,,174,4.321,73,1.711,56,1.25,33,0.707
Asia,Western Asia,Saudi Arabia,,,,,,,,,,,,,,,"3,075",9.29
Asia,Western Asia,State of Palestine,"2,843",70.094,"2,297",55.349,"1,996",47.053,"3,734",86.156,,,,,,,,
Asia,Western Asia,Turkey,"8,581",11.864,"9,662",13.156,"10,303",13.802,"28,854",38.003,"42,602",55.163,"33,931",43.208,"27,123",33.977,,
Asia,Western Asia,United Arab Emirates,,,,,45,0.492,719,7.817,715,7.76,826,8.917,"1,028",10.982,"1,564",16.486
Europe,Eastern Europe,Belarus,"4,735",50.26,"3,641",38.672,"2,656",28.204,"2,770",29.393,"2,460",26.081,,,,,,
Europe,Eastern Europe,Bulgaria,"3,737",50.33,"3,110",42.147,"2,955",40.292,"2,977",40.837,"2,326",32.1,"1,946",27.028,"1,666",23.294,"1,558",21.937
Europe,Eastern Europe,Czech Republic,"4,019",38.142,"3,881",36.728,"3,416",32.284,"3,051",28.818,"2,547",24.049,"2,022",19.074,"1,646",15.501,"1,585",14.895
Europe,Eastern Europe,Hungary,"3,396",34.21,"3,203",32.367,"3,036",30.779,"2,298",23.368,"1,954",19.929,"1,440",14.727,"1,104",11.32,841,8.643
Europe,Eastern Europe,Poland,"19,359",50.506,"17,729",46.306,"16,685",43.647,"19,533",51.19,"13,868",36.408,"10,210",26.844,"9,634",25.36,"8,114",21.379
Europe,Eastern Europe,Republic of Moldova,185,4.528,152,3.726,167,4.097,146,3.583,125,3.069,,,,,,
Europe,Eastern Europe,Romania,"2,484",12.134,"2,251",11.068,"3,193",15.786,"2,933",14.568,"6,418",32.032,"3,358",16.853,"3,096",15.64,"3,163",16.093
