,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
50331,25898,Luiz Felipe Cortizo Gonalves de Azevedo,M,47.0,179.0,73.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
50341,25906,Bruno Lins Tenrio de Barros,M,21.0,182.0,85.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
51300,26374,Vanderlei Cordeiro de Lima,M,35.0,168.0,54.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,Bronze
51579,26509,Joo Carlos de Oliveira,M,22.0,186.0,76.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Triple Jump,Bronze
51581,26509,Joo Carlos de Oliveira,M,26.0,186.0,76.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Triple Jump,Bronze
51592,26518,Servilio Sebastio de Oliveira,M,20.0,160.0,51.0,Brazil,BRA,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Flyweight,Bronze
53128,27269,Cyro Marques Delgado,M,19.0,182.0,76.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
58064,29713,Douglas dos Santos Justino de Melo,M,22.0,173.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
62996,32292,Elisngela Almeida de Oliveira,F,21.0,184.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
63345,32468,Emanuel Fernando Scheffler Rego,M,31.0,190.0,80.0,Brazil-1,BRA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
65738,33646,Fbio Luiz de Jesus Magalhes,M,29.0,204.0,101.0,Brazil-1,BRA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
66162,33844,Natlia Falavigna Silva,F,24.0,178.0,69.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Heavyweight,Bronze
66171,33849,Nelson Falco,M,42.0,180.0,75.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Two Person Keelboat,Bronze
66172,33850,Yamaguchi Falco Florentino,M,24.0,181.0,77.0,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,Bronze
68551,34995,Marcelo Bastos Ferreira,M,30.0,181.0,104.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Gold
68552,34995,Marcelo Bastos Ferreira,M,34.0,181.0,104.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Two Person Keelboat,Bronze
68553,34995,Marcelo Bastos Ferreira,M,38.0,181.0,104.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's Two Person Keelboat,Gold
70516,35894,Esquiva Falco Florentino,M,22.0,171.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,Silver
72913,37055,Clinio Freitas,M,24.0,182.0,70.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Multihull,Bronze
83122,42226,Lars Schmidt Grael,M,32.0,185.0,80.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Multihull,Bronze
